Date,Open,High,Low,Close,Adj Close,Volume
2022-06-01,275.20001220703125,277.69000244140625,270.0400085449219,272.4200134277344,269.8119812011719,25292200
2022-06-02,264.45001220703125,274.6499938964844,261.6000061035156,274.5799865722656,271.95123291015625,44008200
2022-06-03,270.30999755859375,273.45001220703125,268.4100036621094,270.0199890136719,267.4349060058594,28059000
2022-06-06,272.05999755859375,274.17999267578125,267.2200012207031,268.75,266.1770935058594,22400300
2022-06-07,266.6400146484375,273.1300048828125,265.94000244140625,272.5,269.89117431640625,22860700
2022-06-08,271.7099914550781,273.0,269.6099853515625,270.4100036621094,267.8211669921875,17372300
2022-06-09,267.7799987792969,272.7099914550781,264.6300048828125,264.7900085449219,262.2550048828125,26439700
2022-06-10,260.5799865722656,260.5799865722656,252.52999877929688,252.99000549316406,250.5679473876953,31422800
2022-06-13,245.11000061035156,249.02000427246094,241.52999877929688,242.25999450683594,239.94068908691406,46135800
2022-06-14,243.86000061035156,245.74000549316406,241.50999450683594,244.49000549316406,242.1493377685547,28651500
2022-06-15,248.30999755859375,255.3000030517578,246.4199981689453,251.75999450683594,249.3497314453125,33111700
2022-06-16,245.97999572753906,247.4199981689453,243.02000427246094,244.97000122070312,242.62472534179688,33169200
2022-06-17,244.6999969482422,250.5,244.02999877929688,247.64999389648438,245.27906799316406,43084800
2022-06-21,250.25999450683594,254.75,249.50999450683594,253.74000549316406,251.31077575683594,29928300
2022-06-22,251.88999938964844,257.1700134277344,250.3699951171875,253.1300048828125,250.7066192626953,25939900
2022-06-23,255.57000732421875,259.3699951171875,253.6300048828125,258.8599853515625,256.38177490234375,25861400
